open,high,low,close,volume,symbol,datetime_est,momentum_signal,mean_reversion_signal,breakout_signal,reversal_signal,vwap_trend_signal,ema_12_26_signal,scalping_signal,heikin_ashi_signal,market_regime_ADX,market_regime_MA,volatility
5368750000000,5369000000000,5366500000000,5367750000000,1626,ESM4,2024-06-07 14:58:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,4759546493.512085
5367500000000,5367750000000,5366750000000,5367250000000,1277,ESM4,2024-06-07 14:59:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,4442818515.227718
5367250000000,5367500000000,5362750000000,5364250000000,6022,ESM4,2024-06-07 15:00:00,HOLD,HOLD,BUY,HOLD,HOLD,HOLD,BUY,SELL,range-bound,range-bound,4234538124.391294
5364250000000,5365750000000,5363500000000,5365250000000,2550,ESM4,2024-06-07 15:01:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,3978096595.2146773
5365000000000,5369250000000,5365000000000,5368750000000,3505,ESM4,2024-06-07 15:02:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,3627476513.250786
5368500000000,5369500000000,5367250000000,5369000000000,2136,ESM4,2024-06-07 15:03:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,3307857189.7096767
5369000000000,5370750000000,5367250000000,5368500000000,2645,ESM4,2024-06-07 15:04:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,2950646221.915266
5368250000000,5368750000000,5365750000000,5366500000000,3183,ESM4,2024-06-07 15:05:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,2864005106.1604166
5366500000000,5366500000000,5364000000000,5365000000000,2573,ESM4,2024-06-07 15:06:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,2793356565.975296
5365000000000,5365250000000,5362750000000,5364250000000,1961,ESM4,2024-06-07 15:07:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,2675435392.7985992
5364500000000,5364750000000,5362750000000,5364000000000,1507,ESM4,2024-06-07 15:08:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,2554086643.2918925
5363750000000,5364250000000,5362250000000,5363250000000,2040,ESM4,2024-06-07 15:09:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,2480962870.1895933
5363000000000,5366000000000,5363000000000,5364500000000,2121,ESM4,2024-06-07 15:10:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,2349013869.094262
5364250000000,5364750000000,5362750000000,5363750000000,1369,ESM4,2024-06-07 15:11:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,2318173152.1302333
5363750000000,5363750000000,5362250000000,5362750000000,1959,ESM4,2024-06-07 15:12:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,2360595605.2960305
5362750000000,5363750000000,5355250000000,5357000000000,9068,ESM4,2024-06-07 15:13:00,HOLD,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,range-bound,range-bound,2724549354.9399114
5356750000000,5360500000000,5356250000000,5359750000000,4557,ESM4,2024-06-07 15:14:00,SELL,HOLD,SELL,HOLD,HOLD,HOLD,SELL,SELL,range-bound,bear,2864005106.160122
5359750000000,5362000000000,5359750000000,5361250000000,3518,ESM4,2024-06-07 15:15:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bear,2935093307.3515453
5361250000000,5363750000000,5361250000000,5363500000000,2787,ESM4,2024-06-07 15:16:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bear,2956310660.7493825
5363500000000,5363500000000,5361250000000,5362250000000,2187,ESM4,2024-06-07 15:17:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bear,2986691861.9798355
5362250000000,5362750000000,5358250000000,5358750000000,2506,ESM4,2024-06-07 15:18:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bear,3168560039.333885
5358750000000,5360500000000,5357250000000,5358250000000,3273,ESM4,2024-06-07 15:19:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bear,3319621418.0579367
5358250000000,5359000000000,5357000000000,5357250000000,2599,ESM4,2024-06-07 15:20:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bear,3556426463.110881
5357250000000,5358250000000,5354250000000,5357750000000,5029,ESM4,2024-06-07 15:21:00,SELL,HOLD,SELL,HOLD,HOLD,HOLD,SELL,SELL,range-bound,bear,3746210205.619851
5357750000000,5360500000000,5357000000000,5357500000000,3274,ESM4,2024-06-07 15:22:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bear,3931524044.023389
5357500000000,5359500000000,5356500000000,5359250000000,2941,ESM4,2024-06-07 15:23:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bear,4034048583.6691575
5359000000000,5361250000000,5358750000000,5358750000000,2644,ESM4,2024-06-07 15:24:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bear,4146770679.2533507
